"","X..i..","freq"
"1","Zahnarzthelfer,in",14
"2","Verfahrensmechaniker,in",17
"3","Bürokaufmann,frau",110
"4","CAD-Konstrukteur,in",6
"5","Pizzabäcker,in",2
"6","Analyst,in",17
"7","Kranken- und Altenpfleger,in",32
"8","Servicetechniker,in",25
"9","Versicherungskaufmann,frau",48
"10","Sachbearbeiter,in (sonstige)",115
"11","Auszubildende,r (Bankkaufmann,-kauffrau)",26
"12","Student,in (Betriebswirtschaftslehre)",111
"13","Industriekaufmann,frau",122
"14","Student,in (Rechtswissenschaften)",41
"15","Wirtschafts-, REFA-Ingenieur,in",2
"16","Außendienstangestellte,r",33
"17","Projektmanager,in",120
"18","Lehrer,in (sonstige)",30
"19","Fachinformatiker,in",77
"20","Wirtschaftsjurist,in",15
"21","Innenarchitekt,in",4
"22","Serviceberater,in",10
"23","Erzieher,in",127
"24","Finanzbeamter,beamtin",23
"25","Mechatroniker,in",61
"26","Ausbilder,in, kaufmännisch",9
"27","Versicherungsfachmann,frau",24
"28","Fachkrankenpfleger,in",8
"29","Elektrofacharbeiter,in",4
"30","Montageschlosser,in",4
"31","Energieelektroniker,in (Anlagen-, Betriebstechnik)",7
"32","Informatiker,in",113
"33","Brandmeister,in",7
"34","Abteilungsleiter,in",42
"35","Media-Planer,in",3
"36","Berater,in (EDV)",42
"37","Produktmanager,in",72
"38","Automatentechniker,in",9
"39","Friseurmeister,in",15
"40","Analytiker,in (EDV)",1
"41","Auszubildende,r (Mediengestalter,in Digital und Print)",3
"42","Student,in (Medizin)",64
"43","Fertigungssteuerer,in",3
"44","Betriebsingenieur,in",6
"45","Student,in (sonstige)",41
"46","Operationsschwester",14
"47","Reisebürokaufmann,frau",3
"48","Auszubildende,r (Industriekaufmann,-kauffrau)",14
"49","Arzthelfer,in",47
"50","Wissenschaftliche,r Mitarbeiter,in",64
"51","CNC-Einrichter,in",2
"52","Einkäufer,in",35
"53","Dozent,in (EDV)",2
"54","Lehramtsanwärter,in",40
"55","Softwareentwickler,in",176
"56","Taxifahrer,in",6
"57","Auszubildende,r (Verkäufer,in)",1
"58","Assistenzarzt,ärztin",35
"59","Elektrotechniker,in",53
"60","Erziehungswissenschaftler,in",5
"61","Auszubildende,r (Maler,in und Lackierer,in)",6
"62","Vermessungsingenieur,in",6
"63","Projektingenieur,in",36
"64","Vertriebsbeauftragte,r",9
"65","Hausfrau,mann",15
"66","Verwaltungsbeamter,beamtin bei Ländern",7
"67","Logistiker,in",26
"68","Sekretär,in",25
"69","Personalentwickler,in",17
"70","Kinderpfleger,in",13
"71","Anlagenmechaniker,in (Versorgungstechnik)",11
"72","Physiotherapeut,in",91
"73","Architekt,in",30
"74","Arzt,Ärztin (Humanmedizin ohne besondere Gefährdung)",85
"75","Wirtschaftsassistent,in",6
